name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
IHH-C11: CW IHH HEALTHCARE BERHAD (MIBB),522511,19-Apr-19,7:11 PM,0.105,0.105,0.105,0.105,1,0.000 / 0,0.000 / 0
IHH-C12: CW IHH HEALTHCARE BERHAD (AM),522512,19-Apr-19,7:11 PM,0.115,0.115,0.115,0.115,221,0.000 / 0,0.000 / 0
IHH-C13: CW IHH HEALTHCARE BERHAD (KIBB),522513,19-Apr-19,7:11 PM,-,-,-,0.15,0,0.000 / 0,0.000 / 0
IHH-C7: CW IHH HEALTHCARE BERHAD (CIMB),5225C7,19-Apr-19,7:11 PM,-,-,-,0.01,0,0.000 / 0,"0.010 / 1,000"
IHH-C9: CW IHH HEALTHCARE BERHAD (RHB),5225C9,19-Apr-19,7:11 PM,-,-,-,0.095,0,0.000 / 0,0.000 / 0
IHSAN SUKUK-ETBS 4.60%0824,0401GA,19-Apr-19,7:11 PM,-,-,-,98,0,94.000 / 8,95.500 / 4
IJM CORPORATION BHD,3336,19-Apr-19,7:11 PM,2.24,2.19,2.24,2.2,"52,723",2.190 / 379,"2.200 / 23,602"
IJM-C21: CW IJM CORPORATION BERHAD (CIMB),333621,19-Apr-19,7:11 PM,0.125,0.115,0.13,0.12,374,0.000 / 0,0.000 / 0
IJM-C24: CW IJM CORPORATION BERHAD (KIBB),333624,19-Apr-19,7:11 PM,0.18,0.17,0.18,0.17,360,0.000 / 0,0.000 / 0
IJM-C25: CW IJM CORPORATION BERHAD (AM),333625,19-Apr-19,7:11 PM,0.205,0.2,0.21,0.2,"1,570",0.000 / 0,0.000 / 0
IJM-C26: CW IJM CORPORATION BERHAD (MIBB),333626,19-Apr-19,7:11 PM,-,-,-,0.15,0,0.100 / 200,0.000 / 0
IJM PLANTATIONS BHD,2216,19-Apr-19,7:11 PM,1.53,1.53,1.55,1.55,"2,157",1.540 / 230,"1.550 / 1,323"
IKHMAS JAYA GROUP BERHAD,5268,19-Apr-19,7:11 PM,0.16,0.155,0.165,0.165,"12,892","0.160 / 1,230","0.165 / 2,540"
