name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,17-Apr-19,7:12 PM,-,-,-,0.615,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,17-Apr-19,7:12 PM,0.38,0.375,0.395,0.395,"16,572",0.000 / 0,0.400 / 1
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,17-Apr-19,7:12 PM,0.55,0.55,0.575,0.575,452,0.000 / 0,0.000 / 0
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,17-Apr-19,7:12 PM,-,-,-,1.1,0,0.000 / 0,1.210 / 10
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,17-Apr-19,7:12 PM,-,-,-,1.3,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,17-Apr-19,7:12 PM,-,-,-,0.685,0,0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70338,17-Apr-19,7:12 PM,0.37,0.36,0.39,0.39,"174,383","0.310 / 1,100","0.390 / 1,170"
A50CHIN-C40: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70340,17-Apr-19,7:12 PM,0.455,0.45,0.47,0.47,"47,786",0.470 / 100,0.480 / 20
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,17-Apr-19,7:12 PM,-,-,-,0.035,0,"0.005 / 6,000",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,17-Apr-19,7:12 PM,0.02,0.02,0.02,0.02,"4,300","0.010 / 5,000","0.025 / 1,550"
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70329,17-Apr-19,7:12 PM,0.2,0.2,0.215,0.2,"23,260",0.200 / 60,0.210 / 550
ASTRAL ASIA BHD,7054,17-Apr-19,7:12 PM,0.15,0.145,0.15,0.145,495,"0.145 / 1,575",0.160 / 350
AIRASIA X BERHAD,5238,17-Apr-19,7:12 PM,0.225,0.225,0.23,0.23,"58,753","0.225 / 1,302","0.230 / 49,328"
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,17-Apr-19,7:12 PM,0.04,0.035,0.04,0.035,"3,387","0.035 / 29,785","0.040 / 11,246"
ABF MALAYSIA BOND INDEX FUND,0800EA,17-Apr-19,7:12 PM,-,-,-,1.185,0,"1.178 / 1,000","1.183 / 1,000"
ABLEGROUP BERHAD,7086,17-Apr-19,7:12 PM,0.08,0.08,0.08,0.08,"5,271","0.080 / 3,677","0.085 / 3,377"
ALLIANCE BANK MALAYSIA BERHAD,2488,17-Apr-19,7:12 PM,4,3.99,4,4,"3,168",3.990 / 6,"4.000 / 9,444"
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),2488CY,17-Apr-19,7:12 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
ACME HOLDINGS BERHAD,7131,17-Apr-19,7:12 PM,-,-,-,0.3,0,0.255 / 134,0.300 / 46
ACOUSTECH BHD,7120,17-Apr-19,7:12 PM,0.415,0.41,0.42,0.415,"17,501","0.405 / 1,946",0.410 / 402
ADVANCECON HOLDINGS BERHAD,5281,17-Apr-19,7:12 PM,0.425,0.405,0.425,0.41,"30,243","0.405 / 1,914","0.410 / 1,496"
ADVENTA BHD,7191,17-Apr-19,7:12 PM,0.36,0.36,0.36,0.36,680,0.355 / 50,0.360 / 127
ADVANCED PACKAGING TECHNOLOGY,9148,17-Apr-19,7:12 PM,1.85,1.85,1.85,1.85,56,1.850 / 44,2.100 / 5
AE MULTI HOLDINGS BHD,7146,17-Apr-19,7:12 PM,0.105,0.105,0.105,0.105,"1,000",0.105 / 9,"0.110 / 1,700"
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,7146WA,17-Apr-19,7:12 PM,0.01,0.01,0.01,0.01,9,0.000 / 0,0.005 / 9
AEMULUS HOLDINGS BERHAD,181,17-Apr-19,7:12 PM,0.24,0.23,0.24,0.23,"17,685","0.230 / 5,636","0.235 / 3,004"
AEON CO. (M) BHD,6599,17-Apr-19,7:12 PM,1.43,1.41,1.44,1.42,"5,117",1.410 / 890,1.420 / 727
AEON-CO: CW AEON CO. (M) BERHAD (CIMB),6599CO,17-Apr-19,7:12 PM,0.015,0.015,0.02,0.02,"8,430","0.010 / 1,100","0.020 / 1,599"
AEON-CP: CW AEON CO (M) BERHAD (RHB),6599CP,17-Apr-19,7:12 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB),6599CQ,17-Apr-19,7:12 PM,-,-,-,0.01,0,0.000 / 0,0.020 / 500
AEON CREDIT SERVICE (M) BHD,5139,17-Apr-19,7:12 PM,16.84,16.82,16.94,16.86,"1,839",16.840 / 5,16.860 / 470
AEONCR-CC: CW AEON CREDIT SERVICE (M) BERHAD (MIBB),5139CC,17-Apr-19,7:12 PM,-,-,-,0.15,0,0.000 / 0,0.000 / 0
