name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070326,15 Apr 2019,7:11 PM,-,-,-,0.615,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070328,15 Apr 2019,7:11 PM,0.315,0.315,0.375,0.320,"28,359",0.310 / 40,0.380 / 100
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070330,15 Apr 2019,7:11 PM,0.510,0.445,0.510,0.445,"5,549",0.415 / 100,0.510 / 100
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070332,15 Apr 2019,7:11 PM,-,-,-,1.100,0,0.000 / 0,1.210 / 10
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070334,15 Apr 2019,7:11 PM,-,-,-,1.210,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070336,15 Apr 2019,7:11 PM,-,-,-,0.685,0,0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070338,15 Apr 2019,7:11 PM,0.345,0.300,0.360,0.310,"213,033",0.300 / 300,0.310 / 570
A50CHIN-C40: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),070340,15 Apr 2019,7:11 PM,0.425,0.390,0.445,0.395,"92,141",0.370 / 14,0.440 / 143
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070325,15 Apr 2019,7:11 PM,-,-,-,0.035,0,"0.005 / 6,000",0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),070327,15 Apr 2019,7:11 PM,-,-,-,0.030,0,"0.020 / 1,500",0.060 / 550
