name,code,date,time,open,low,high,price,volume,buy/volume,sell/volume
A50CHIN-C26: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70326,22-Apr-19,7:11 PM,-,-,-,0.615,0,0.000 / 0,0.000 / 0
A50CHIN-C28: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70328,22-Apr-19,7:11 PM,-,-,-,0.375,0,0.325 / 150,0.000 / 0
A50CHIN-C30: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70330,22-Apr-19,7:11 PM,-,-,-,0.565,0,0.000 / 0,0.565 / 50
A50CHIN-C32: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70332,22-Apr-19,7:11 PM,-,-,-,1.1,0,0.000 / 0,1.210 / 10
A50CHIN-C34: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70334,22-Apr-19,7:11 PM,-,-,-,1.3,0,0.000 / 0,0.000 / 0
A50CHIN-C36: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70336,22-Apr-19,7:11 PM,-,-,-,0.685,0,0.000 / 0,0.000 / 0
A50CHIN-C38: CW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70338,22-Apr-19,7:11 PM,0.37,0.365,0.37,0.365,"1,340",0.360 / 25,0.390 / 100
A50CHIN-C40: CW ISHARES FTSE A50 CHINA INDEX ETF (RHB),70340,22-Apr-19,7:11 PM,-,-,-,0.45,0,0.000 / 0,0.450 / 25
A50CHIN-H25: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70325,22-Apr-19,7:11 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
A50CHIN-H27: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70327,22-Apr-19,7:11 PM,0.02,0.02,0.02,0.02,550,0.010 / 400,"0.025 / 1,500"
A50CHIN-H29: PW ISHARES FTSE A50 CHINA INDEX ETF (MACQ),70329,22-Apr-19,7:11 PM,0.19,0.19,0.215,0.215,"1,796",0.200 / 168,0.215 / 442
ASTRAL ASIA BHD,7054,22-Apr-19,7:11 PM,0.16,0.16,0.19,0.19,955,0.170 / 370,0.190 / 580
AIRASIA X BERHAD,5238,22-Apr-19,7:11 PM,0.23,0.22,0.23,0.225,"78,810","0.225 / 32,476","0.230 / 30,881"
AIRASIA X BERHAD - WARRANTS  A  2015/2020,5238WA,22-Apr-19,7:11 PM,0.035,0.03,0.04,0.04,"27,646","0.030 / 29,670","0.040 / 36,694"
ABF MALAYSIA BOND INDEX FUND,0800EA,22-Apr-19,7:11 PM,-,-,-,1.18,0,"1.175 / 1,051","1.180 / 1,000"
ABLEGROUP BERHAD,7086,22-Apr-19,7:11 PM,0.085,0.085,0.09,0.085,"5,627","0.080 / 2,600","0.090 / 4,000"
ALLIANCE BANK MALAYSIA BERHAD,2488,22-Apr-19,7:11 PM,3.99,3.97,4.01,4,"3,943",3.980 / 108,"4.000 / 4,458"
ABMB-CY: CW ALLIANCE BANK MALAYSIA BERHAD (MIBB),2488CY,22-Apr-19,7:11 PM,-,-,-,0.1,0,0.000 / 0,0.000 / 0
ACME HOLDINGS BERHAD,7131,22-Apr-19,7:11 PM,0.3,0.3,0.3,0.3,46,0.300 / 4,0.360 / 91
ACOUSTECH BHD,7120,22-Apr-19,7:11 PM,0.405,0.405,0.405,0.405,"16,641",0.405 / 158,0.415 / 452
ADVANCECON HOLDINGS BERHAD,5281,22-Apr-19,7:11 PM,0.435,0.43,0.47,0.465,"104,755","0.460 / 1,124","0.465 / 1,766"
ADVENTA BHD,7191,22-Apr-19,7:11 PM,0.36,0.36,0.36,0.36,150,"0.350 / 11,242",0.360 / 17
ADVANCED PACKAGING TECHNOLOGY,9148,22-Apr-19,7:11 PM,-,-,-,1.85,0,1.850 / 50,2.080 / 5
AE MULTI HOLDINGS BHD,7146,22-Apr-19,7:11 PM,-,-,-,0.105,0,"0.100 / 7,217","0.110 / 1,100"
AE MULTI HOLDINGS BERHAD-WARRANTS 2014/2019,7146WA,22-Apr-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.010 / 16,268"
AEMULUS HOLDINGS BERHAD,181,22-Apr-19,7:11 PM,0.23,0.23,0.235,0.235,"17,423","0.235 / 1,029","0.240 / 4,341"
AEON CO. (M) BHD,6599,22-Apr-19,7:11 PM,1.43,1.43,1.45,1.45,"2,787",1.440 / 282,"1.450 / 1,516"
AEON-CO: CW AEON CO. (M) BERHAD (CIMB),6599CO,22-Apr-19,7:11 PM,0.02,0.02,0.02,0.02,300,0.015 / 500,"0.025 / 3,000"
AEON-CP: CW AEON CO (M) BERHAD (RHB),6599CP,22-Apr-19,7:11 PM,-,-,-,0.05,0,0.000 / 0,0.000 / 0
AEON-CQ: CW AEON CO. (M) BERHAD (KIBB),6599CQ,22-Apr-19,7:11 PM,-,-,-,0.01,0,0.000 / 0,0.020 / 500
AEON CREDIT SERVICE (M) BHD,5139,22-Apr-19,7:11 PM,16.8,16.8,16.92,16.9,"2,700",16.860 / 1,"16.900 / 1,230"
AEONCR-CC: CW AEON CREDIT SERVICE (M) BERHAD (MIBB),5139CC,22-Apr-19,7:11 PM,-,-,-,0.15,0,0.000 / 0,0.000 / 0
AEON CREDIT SERVICE (M) BERHAD - ICULS 2017/2020,5139LA,22-Apr-19,7:11 PM,-,-,-,1.51,0,1.510 / 41,1.570 / 45
AFFIN BANK BERHAD,5185,22-Apr-19,7:11 PM,2.18,2.16,2.18,2.17,402,2.170 / 94,2.180 / 10
ABM FUJIYA BERHAD,5198,22-Apr-19,7:11 PM,0.555,0.555,0.56,0.555,150,0.540 / 30,0.555 / 110
AHB HOLDINGS BHD,7315,22-Apr-19,7:11 PM,0.15,0.15,0.16,0.155,"14,199",0.155 / 310,"0.160 / 2,010"
AHB HOLDINGS BERHAD - WARRANTS B 2014/2019,7315WB,22-Apr-19,7:11 PM,0.025,0.025,0.035,0.035,"47,144",0.030 / 500,"0.035 / 14,927"
APEX HEALTHCARE BHD,7090,22-Apr-19,7:11 PM,8.9,8.9,8.9,8.9,71,8.880 / 39,8.900 / 7
AMANAH HARTA TANAH PNB,4952,22-Apr-19,7:11 PM,0.755,0.755,0.755,0.755,10,0.755 / 100,0.795 / 150
ADVANCE INFORMATION MARKETING,122,22-Apr-19,7:11 PM,-,-,-,0.27,0,0.240 / 350,0.280 / 333
AIRASIA GROUP BERHAD,5099,22-Apr-19,7:11 PM,2.5,2.45,2.51,2.47,"45,653","2.460 / 1,546","2.470 / 2,274"
AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ),509959,22-Apr-19,7:11 PM,-,-,-,0.02,0,0.000 / 0,0.005 / 150
AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB),509967,22-Apr-19,7:11 PM,-,-,-,0.005,0,0.000 / 0,"0.005 / 7,792"
AIRASIAC71: CW AIRASIA GROUP BERHAD (CIMB),509971,22-Apr-19,7:11 PM,-,-,-,0.04,0,0.030 / 16,0.040 / 832
AIRASIAC72: CW AIRASIA GROUP BERHAD (MACQ),509972,22-Apr-19,7:11 PM,0.095,0.085,0.095,0.085,"1,730",0.085 / 430,0.090 / 600
AIRASIAC73: CW AIRASIA GROUP BERHAD (KIBB),509973,22-Apr-19,7:11 PM,0.09,0.09,0.09,0.09,"1,386",0.000 / 0,0.000 / 0
AIRASIAC74: CW AIRASIA GROUP BERHAD (MACQ),509974,22-Apr-19,7:11 PM,-,-,-,0.195,0,0.000 / 0,0.000 / 0
AIRASIAC75: CW AIRASIA GROUP BERHAD (AM),509975,22-Apr-19,7:11 PM,0.06,0.06,0.06,0.06,"1,060",0.000 / 0,0.000 / 0
AIRASIAC76: CW AIRASIA GROUP BERHAD (MIBB),509976,22-Apr-19,7:11 PM,-,-,-,0.035,0,0.000 / 0,0.000 / 0
AIRASIAC77: CW AIRASIA GROUP BERHAD (MACQ),509977,22-Apr-19,7:11 PM,0.03,0.03,0.03,0.03,"2,370",0.000 / 0,0.030 / 900
AIRASIAC78: CW AIRASIA GROUP BERHAD (KIBB),509978,22-Apr-19,7:11 PM,0.05,0.05,0.05,0.05,"5,000",0.000 / 0,"0.050 / 1,000"
AIRASIAC79: CW AIRASIA GROUP BERHAD (CIMB),509979,22-Apr-19,7:11 PM,0.03,0.03,0.03,0.03,220,"0.025 / 1,500",0.030 / 2
AIRASIAC80: CW AIRASIA GROUP BERHAD (KIBB),509980,22-Apr-19,7:11 PM,0.025,0.025,0.025,0.025,"9,500",0.000 / 0,0.000 / 0
AIRASIAC81: CW AIRASIA GROUP BERHAD (MIBB),509981,22-Apr-19,7:11 PM,0.07,0.07,0.07,0.07,"2,780","0.065 / 4,500",0.070 / 100
AIRASIAC82: CW AIRASIA GROUP BERHAD (AM),509982,22-Apr-19,7:11 PM,0.08,0.08,0.08,0.08,200,"0.075 / 1,100",0.000 / 0
AIRASIAC83: CW AIRASIA GROUP BERHAD (MACQ),509983,22-Apr-19,7:11 PM,0.125,0.12,0.125,0.125,"18,710","0.120 / 1,000","0.125 / 2,990"
MALAYSIA AIRPORTS HOLDINGS BHD,5014,22-Apr-19,7:11 PM,6.78,6.77,7.14,7.11,"54,483",7.080 / 30,7.110 / 7
AIRPORT-C4: CW MALAYSIA AIRPORTS HOLDINGS BERHAD (CIMB),5014C4,22-Apr-19,7:11 PM,-,-,-,0.02,0,0.015 / 900,"0.020 / 11,125"
