name,total assets,total liabilities,total equity,net cash generated from operating activities,net cash generated from investing activities,net cash generated from financing activities,code
MAXIS BERHAD,26758224000.0,1264000.0,26756960000.0,269005000.0,1303142000.0,-1566290000.0,6012.0
MISC BERHAD,31137794000.0,31137794000.0,23657050000.0,2544019000.0,-609617000.0,-2590475000.0,3816.0
OSK HOLDINGS BERHAD,3919469000.0,885508000.0,3033961000.0,-3877000.0,638386000.0,-583366000.0,5053.0
OSK VENTURES INTERNATIONAL BERHAD,174894917.0,762721.0,174132196.0,13224434.0,-3361240.0,-9822254.0,53.0
PUBLIC BANK BERHAD,331786540000.0,296506736000.0,35279804000.0,9837708000.0,-5273771000.0,-1532235000.0,1295.0
PETRONAS CHEMICALS GROUP BERHAD,33272000000.0,2798000000.0,30474000000.0,-117000000.0,5239000000.0,-2320000000.0,5183.0
PETRONAS DAGANGAN BERHAD,9170785000.0,3233545000.0,5937240000.0,81804000.0,-291481000.0,-959826000.0,5681.0
PETRONAS GAS BERHAD,18423984000.0,5075593000.0,13348391000.0,3311229000.0,-847139000.0,-1346652000.0,6033.0
PHARMANIAGA BERHAD,690514000.0,238809000.0,451705000.0,-16910000.0,-22890000.0,39959000.0,7081.0
RANHILL HOLDINGS BERHAD,1311262000.0,16954000.0,1294308000.0,10100000.0,61225000.0,-71189000.0,5272.0
RHB BANK BERHAD,181043287000.0,161740509000.0,19302778000.0,4084433000.0,-2118341000.0,-712603000.0,1066.0
TEXCHEM RESOURCES BHD,446577000.0,27193000.0,419384000.0,-7021000.0,-3378000.0,861000.0,8702.0
TFP SOLUTIONS BERHAD,24313000.0,13897000.0,10416000.0,-1149000.0,418000.0,0.0,145.0
UNISEM (M) BERHAD,1163275000.0,118750000.0,1044525000.0,237047000.0,-165726000.0,-75525000.0,5005.0
WESTPORTS HOLDINGS BERHAD,1045587000.0,101000.0,1045486000.0,-2645000.0,457376000.0,-455235000.0,5246.0
ZHULIAN CORPORATION BERHAD,249821000.0,252000.0,249569000.0,48446000.0,3677000.0,-414000000.0,5131.0
CME GROUP BERHAD,109083000.0,56233000.0,52850000.0,3254000.0,-5235000.0,6158000.0,7018.0
CARIMIN PETROLEUM BERHAD,152906000.0,268000.0,152638000.0,-316000.0,-1212000.0,0.0,5257.0
GOODWAY INTEGRATED INDUSTRIES BERHAD,158443819.0,113847841.0,44595978.0,31348558.0,40014389.0,-36913531.0,7192.0
KWANTAS CORPORATION BERHAD,471283000.0,348000.0,470935000.0,23713000.0,158692000.0,-208743000.0,6572.0
MALAYSIA UNITED INDUSTRIES BERHAD,1201012000.0,490162000.0,710850000.0,4201000.0,-2053000.0,-2000000.0,3891.0
MUI PROPERTIES BERHAD,330583000.0,227082000.0,103501000.0,-2681000.0,3598000.0,0.0,3913.0
ORION IXL BERHAD,95571468.0,12874540.0,82696928.0,-3663104.0,-74587310.0,77469480.0,79.0
PINEHILL PACIFIC BERHAD,68643926.0,39455773.0,29188153.0,-327015.0,-6472.0,331630.0,1902.0
PAN MALAYSIA CORPORATION BERHAD,275210000.0,74586000.0,200624000.0,-711000.0,18025000.0,0.0,4081.0
PAN MALAYSIA HOLDINGS BERHAD,58541000.0,51000.0,58490000.0,-23000.0,332000.0,-462000.0,1287.0
WILLOWGLEN MSC BERHAD,56977000.0,512000.0,56465000.0,-6746000.0,14925000.0,-4900000.0,8.0
SIME DARBY PROPERTY BERHAD,9832452000.0,1018756000.0,8813696000.0,171455000.0,428060000.0,-514146000.0,5288.0
LUXCHEM CORPORATION BERHAD,169907691.0,286516.0,169621175.0,-347151.0,11793639.0,-15923226.0,5143.0
MALAYSIAN BULK CARRIERS BERHAD,607210000.0,272157000.0,335053000.0,-62005000.0,320142000.0,-81963000.0,5077.0
TIEN WAH PRESS HOLDINGS BERHAD,236370000.0,23186000.0,213184000.0,25282000.0,-23366000.0,23077000.0,7374.0
TASEK CORPORATION BERHAD,523949000.0,60766000.0,463183000.0,-21624000.0,17124000.0,-24316000.0,4448.0
GENTING PLANTATIONS BERHAD,6068586000.0,1228573000.0,4840013000.0,-29044000.0,218788000.0,-429856000.0,2291.0
GENTING MALAYSIA BERHAD,27877200000.0,10300100000.0,17577100000.0,1945500000.0,-1374000000.0,1382300000.0,4715.0
GLOBETRONICS TECHNOLOGY BERHAD,197740000.0,807000.0,196933000.0,52196000.0,-181000.0,-51340000.0,7022.0
GENTING BERHAD,17109000000.0,3862700000.0,13246300000.0,402100000.0,445400000.0,-805600000.0,3182.0
CEPATWAWASAN GROUP BERHAD,516773000.0,157145000.0,359628000.0,525000.0,10450000.0,-11919000.0,8982.0
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,7117888000.0,6184871000.0,933017000.0,317887000.0,-286587000.0,-123472000.0,6139.0
MEDIA PRIMA BERHAD,1261354000.0,328734000.0,932620000.0,205357000.0,58082000.0,-264492000.0,4502.0
MENTIGA CORPORATION BERHAD,122552369.0,22382362.0,100170007.0,9066124.0,-9126817.0,-164830.0,5223.0
MHC PLANTATIONS BHD,225144701.0,17423728.0,207720973.0,-2891381.0,8319904.0,-5825956.0,5026.0
DIGI.COM BERHAD,773531000.0,1092000.0,772439000.0,0.0,1508229000.0,-1508350000.0,6947.0
TENAGA NASIONAL BERHAD,125141500000.0,73411400000.0,51730100000.0,10551200000.0,-7953200000.0,260700000.0,5347.0
PELANGI PUBLISHING GROUP BHD,58755964.0,517782.0,58238182.0,-468562.0,3348114.0,-2306354.0,7190
AEMULUS HOLDINGS BERHAD,59576103.0,212773.0,59363330.0,-639598.0,394992.0,2384997.0,181
YFG BERHAD,2995700.0,21857113.0,-18861413.0,3013073.0,-2372773.0,-436892.0,7122
APB RESOURCES BHD,113590574.0,3061318.0,110529256.0,270513.0,3166508.0,-3325344.0,5568
CAB CAKARAN CORPORATION BHD,154877184.0,12493064.0,142384120.0,-1952128.0,-11242131.0,12957810.0,7174
DGB ASIA BERHAD,54245030.0,592548.0,53652482.0,3789236.0,-10211887.0,25849529.0,152
DIGISTAR CORPORATION BHD,140739981.0,52131400.0,88608581.0,-481366.0,-28566204.0,29136714.0,29
ECO WORLD DEVELOPMENT GROUP BERHAD,5119132000.0,1288882000.0,3830250000.0,-8958000.0,-103898000.0,80768000.0,8206
EITA RESOURCES BERHAD,85527000.0,2357000.0,83170000.0,12976000.0,93000.0,-9290000.0,5208
ECO WORLD INTERNATIONAL BERHAD,3552961000.0,772125000.0,2780836000.0,-27579000.0,-1207419000.0,748665000.0,5283
FIAMMA HOLDINGS BHD,296265000.0,13547000.0,282718000.0,-15917000.0,15285000.0,751000.0,6939
HUBLINE BHD,200974832.0,86395118.0,114579714.0,-26492735.0,821321.0,24854567.0,7013
JCY INTERNATIONAL BERHAD,669331000.0,3457000.0,665874000.0,-2229000.0,38128000.0,-36067000.0,5161
KUANTAN FLOUR MILLS BHD,,,-25911730.0,1151736.0,108190.0,,8303
KUALA LUMPUR KEPONG BHD,9393199000.0,6607570000.0,2785629.0,76922000.0,634227000.0,,2445
